p, Greedy, Greedy Opened, L. S., Local Search Opened, Xpress, Xpress Opened
1,2178,18 ,2178, 18 ,2178, 18
2,1733,5 18,1592,23 28,1592,23 28
3,1365,5 8 18,1295,5 14 17,1300,5 12 14
4,1143,5 8 11 18,1143,5 8 11 18,1076,12 14 26 27
5,982,5 6 8 11 18,922,6 8 11 13 23,923,8 11 13 23 26
6,847,5 6 8 11 18 28,790,6 8 11 27 28 30,790,8 11 26 27 28 30
7,757,5 6 8 11 18 27 28,692,8 11 25 26 27 28 30,697,1 10 11 17 26 27 30
8,672,5 6 8 11 18 25 27 28,601,1 10 11 17 25 26 27 30,601,1 10 11 17 25 26 27 30
9,593,1 5 6 8 11 18 25 27 28,536,1 10 11 17 21 25 26 27 30,536,1 10 11 16 17 21 26 27 30
10,528,1 5 6 8 11 18 21 25 27 28,492,1 11 17 20 21 25 26 27 28 30,485,2 10 11 16 17 21 22 26 27 30
