dc, Greedy, Greedy Opened, R. Greedy, R. Greedy Opened, Xpress, Xpress Opened
300,6,1 2 3 4 13 14,6,1 2 3 6 8 13,6,1 2 3 4 11 13
301,5,1 2 3 6 14,5,1 2 3 6 17,5,1 2 3 6 11
302,5,1 2 3 6 14,5,1 2 3 6 17,5,1 2 3 6 11
303,5,1 2 3 6 14,5,1 2 3 6 8,5,1 2 3 6 11
304,5,1 2 3 6 14,5,1 2 3 6 11,5,1 2 3 6 11
305,5,1 2 3 6 14,5,1 2 3 6 8,5,1 2 3 6 11
306,5,1 2 3 6 14,5,1 2 3 6 14,5,1 2 3 6 11
307,5,1 2 3 6 14,5,1 2 3 6 11,5,1 2 3 6 11
308,5,1 2 3 6 14,5,1 2 3 6 14,5,1 2 3 6 11
309,5,1 2 3 6 14,5,1 2 3 6 14,5,1 2 3 6 11
310,5,1 2 3 6 14,5,1 2 3 6 8,5,1 2 3 6 11
311,5,1 2 3 6 14,5,1 2 3 6 11,5,1 2 3 6 11
312,5,1 2 3 6 12,5,1 2 3 6 12,5,1 2 3 6 11
313,5,1 2 3 6 12,5,1 2 3 6 14,5,1 2 3 6 11
314,5,1 2 3 6 12,5,1 2 3 6 11,5,1 2 3 6 11
315,5,1 2 3 6 12,5,1 2 3 6 14,5,1 2 3 6 11
316,5,1 2 3 6 12,5,1 2 3 6 12,5,1 2 3 6 11
317,5,1 2 3 6 12,5,1 2 3 6 12,5,1 2 3 6 11
318,5,1 2 3 6 12,5,1 2 3 6 14,5,1 2 3 6 11
319,5,1 2 3 6 8,5,1 2 3 6 12,5,1 2 3 6 11
320,5,1 2 3 6 8,5,1 2 5 6 11,5,1 2 3 6 11
321,5,1 3 6 8 16,5,1 5 6 11 16,5,1 3 6 11 16
322,5,1 3 6 8 16,5,1 2 5 6 11,5,1 3 6 11 16
323,5,1 3 6 8 16,5,1 6 9 16 18,5,1 3 6 11 16
324,5,1 3 6 8 16,5,1 3 6 8 16,5,1 3 6 11 16
325,5,1 2 3 6 14,5,1 3 6 14 16,5,1 3 6 11 16
326,5,1 3 6 8 19,5,1 6 7 11 19,5,1 3 6 11 19
327,5,1 3 6 8 19,5,1 6 9 11 16,5,1 3 6 11 19
328,5,1 3 6 8 19,5,1 3 6 14 19,5,1 3 6 11 19
329,5,1 3 6 8 19,5,1 3 6 8 19,5,1 3 6 11 19
330,4,1 3 6 19,4,1 3 6 19,4,1 3 6 19
331,4,1 3 6 19,4,1 3 6 19,4,1 3 6 19
332,4,1 3 4 19,4,1 3 4 19,4,1 3 6 19
333,4,1 3 4 19,4,1 3 6 19,4,1 3 6 19
334,4,1 3 4 19,4,1 3 4 19,4,1 3 6 19
335,4,1 3 4 19,4,1 3 4 19,4,1 3 6 19
336,4,1 3 4 19,4,1 3 4 19,4,1 3 6 19
337,4,1 3 4 19,4,1 3 4 19,4,1 3 6 19
338,4,1 3 4 19,4,1 3 6 19,4,1 3 6 19
339,4,1 3 4 19,4,1 3 6 19,4,1 3 6 19
340,4,1 3 4 19,4,1 3 6 19,4,1 3 6 19
341,3,3 4 19,3,3 4 19,3,3 4 19
342,3,3 4 19,3,3 4 19,3,3 4 19
343,3,3 4 19,3,3 4 19,3,3 4 19
344,3,3 4 19,3,3 4 19,3,3 4 19
345,3,3 4 14,3,4 13 14,3,1 13 14
346,3,3 4 14,3,4 13 14,3,1 13 14
347,3,3 4 14,3,1 13 14,3,1 13 14
348,3,3 4 14,3,3 4 14,3,1 13 14
349,3,3 4 14,3,4 13 14,3,3 4 14
