p, Greedy, Greedy Opened, L. S., Xpress, Xpress Opened
1,7416,71,7416,7416,71
2,5744,71 95,5211,5211,63 77
3,4593,30 71 95,4243,4243,57 77 84
4,3845,28 30 71 95,3478,3500,6 14 55 57
5,3320,6 28 30 71 95,3053,3053,4 6 18 55 56
6,2907,6 28 30 58 71 95,2777,2745,4 18 20 49 56 69
7,2600,6 28 30 37 58 71 95,2495,2509,4 6 28 42 49 60 90
8,2364,6 28 30 37 58 71 89 95,2274,2287,4 6 28 41 42 89 90 92
9,2212,6 28 30 37 58 71 89 95 98,2110,2118,4 6 28 41 42 66 86 89 92
10,2072,6 28 30 37 58 66 71 89 95 98,1952,1952,4 15 21 28 41 42 66 86 89 92
