n: 10

d:[(1) 100
   (2) -35 
   (3) -140 
   (4) 60
   (5) -50
   (6) -40
   (7) 80
   (8) 150
   (9) -70
   (10) -55]


c:[(1 2) 26         (2 1) 11
   (1 10) 0.0001    (10 1) 0.0001
   (2 3) 11         (3 2) 11
   (2 7) 11         (7 2) 32
   (2 8) 11         (8 2) 34.5
   (3 4) 11         (4 3) 24.5
   (3 8) 11         (8 3) 34.5
   (4 5) 24.5       (5 4) 11
   (7 10) 0.0001    (10 7) 0.0001
   (6 7) 11         (7 6) 32
   (7 10) 0.0001    (10 7) 0.0001
   (8 9) 34.5       (9 8) 11
   (8 10) 0.0001    (10 8) 0.0001]
    
